date,feature_0,feature_1,feature_2,OT
2020-01-01 00:00:00,0.024835708,1.5422109,-0.81318176,-0.06699938
2020-01-01 01:00:00,0.27061144,1.3473196,-0.927144,-0.67519885
2020-01-01 02:00:00,0.5697695,1.0791682,-1.0248959,-0.41701362
2020-01-01 03:00:00,0.83927053,0.7796105,-0.98776937,-0.29759496
2020-01-01 04:00:00,0.92887884,0.5601231,-0.9772098,-0.14645179
2020-01-01 05:00:00,1.0472248,0.25379056,-0.71077377,-0.35797817
2020-01-01 06:00:00,1.1902812,0.001825577,-0.49877638,-0.6649716
2020-01-01 07:00:00,1.1337771,-0.25669363,-0.26881206,-0.55047584
2020-01-01 08:00:00,0.99000925,-0.434464,0.10817691,-0.56139314
2020-01-01 09:00:00,0.8994643,-0.65261704,0.4397269,-0.12011143
2020-01-01 10:00:00,0.6595996,-0.6305019,0.62589246,0.030055648
2020-01-01 11:00:00,0.43558857,-0.684061,0.9588839,0.39816755
2020-01-01 12:00:00,0.22915998,-0.5148035,1.2094336,0.84837806
2020-01-01 13:00:00,-0.12071874,-0.50926465,1.3969058,0.7872308
2020-01-01 14:00:00,-0.33610588,-0.18468694,1.6146148,0.7844405
2020-01-01 15:00:00,-0.46905512,-0.011264595,1.6177537,0.8246733
2020-01-01 16:00:00,-0.6348469,0.22809562,1.5896262,0.87545437
2020-01-01 17:00:00,-0.6531334,0.53230685,1.399638,0.39376166
2020-01-01 18:00:00,-0.7334763,0.83192426,1.3550278,-0.02798382
2020-01-01 19:00:00,-0.7102073,1.1380237,1.0201716,-0.07587831
2020-01-01 20:00:00,-0.4524566,1.372446,0.79209137,0.07673034
2020-01-01 21:00:00,-0.36463222,1.4932984,0.4735509,-0.0027921875
2020-01-01 22:00:00,-0.12987766,1.6314977,0.1795134,-0.14550525
2020-01-01 23:00:00,0.049159408,1.7784522,-0.30231774,-0.30796707
2020-01-02 00:00:00,0.3639366,1.7214875,-0.7177316,0.020608537
2020-01-02 01:00:00,0.66691405,1.5476935,-0.8513803,-0.019976642
2020-01-02 02:00:00,0.8558297,1.3518621,-1.0127558,0.170608
2020-01-02 03:00:00,1.1495237,1.1237733,-1.2188022,0.28748804
2020-01-02 04:00:00,1.2692862,0.87383276,-1.374987,0.12072563
2020-01-02 05:00:00,1.3936888,0.4914139,-1.4366481,-0.38959712
2020-01-02 06:00:00,1.4206991,0.22109984,-1.31971,-0.6732849
2020-01-02 07:00:00,1.5171309,-0.14756207,-1.2821045,-1.4515268
2020-01-02 08:00:00,1.3311074,-0.31400838,-1.0164939,-1.3691397
2020-01-02 09:00:00,1.1264929,-0.5271821,-0.7673523,-1.2566737
2020-01-02 10:00:00,1.0192536,-0.7517804,-0.45233554,-1.3354067
2020-01-02 11:00:00,0.68108976,-0.74986655,-0.0576912,-0.64950794
2020-01-02 12:00:00,0.49826714,-0.91820645,0.13755496,-0.3407321
2020-01-02 13:00:00,0.13485068,-0.88495785,0.3913633,0.11452402
2020-01-02 14:00:00,-0.07161389,-0.68544364,0.68185335,0.57632184
2020-01-02 15:00:00,-0.20001762,-0.46733227,0.81246454,0.60266584
2020-01-02 16:00:00,-0.33010018,-0.20844837,1.0222073,0.7821846
2020-01-02 17:00:00,-0.45729706,-0.053447053,1.1210117,0.887749
2020-01-02 18:00:00,-0.5053624,0.30351403,1.1226299,0.6830599
2020-01-02 19:00:00,-0.48090065,0.52738774,1.0853219,0.48125222
2020-01-02 20:00:00,-0.4409096,0.7817753,0.8900945,0.38154042
2020-01-02 21:00:00,-0.24579288,1.0598863,0.7728191,0.43558827
2020-01-02 22:00:00,-0.028156525,1.2228577,0.4456226,0.089840434
2020-01-02 23:00:00,0.2857903,1.2233627,0.13175642,0.5073729
2020-01-03 00:00:00,0.50512487,1.4173691,-0.22292264,0.37622002
2020-01-03 01:00:00,0.65411997,1.3796934,-0.54454464,0.35463664
2020-01-03 02:00:00,0.9944906,1.1732893,-0.84509844,0.47141153
2020-01-03 03:00:00,1.1603043,1.0504338,-1.233912,0.058797907
